Row ID,Order ID,Order Date,Ship Date,Customer Name,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
17,US-2023-135405,01-09-2023,1/13/2023,Melanie Seite,Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.3176
18,US-2023-135405,01-09-2023,1/13/2023,Melanie Seite,Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.99
20,US-2023-149020,01-10-2023,1/15/2023,Anthony Jacobs,Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011
21,US-2023-130092,01-11-2023,1/14/2023,Seth Vernon,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384
22,US-2023-157147,1/13/2023,1/18/2023,Brian Dahlen,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0.0,5.0596
23,US-2023-109232,1/13/2023,1/16/2023,Natalie DeCherney,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884
25,US-2023-118192,1/13/2023,1/18/2023,Michael Moore,Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649
26,US-2023-162775,1/13/2023,1/15/2023,Chris Selesnick,Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224
27,US-2023-162775,1/13/2023,1/15/2023,Chris Selesnick,Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741
28,US-2023-162775,1/13/2023,1/15/2023,Chris Selesnick,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522
29,US-2023-118192,1/13/2023,1/18/2023,Michael Moore,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532
30,US-2023-162775,1/13/2023,1/15/2023,Chris Selesnick,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525
31,US-2023-157147,1/13/2023,1/18/2023,Brian Dahlen,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016
32,US-2023-162775,1/13/2023,1/15/2023,Chris Selesnick,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092
33,US-2023-149524,1/14/2023,1/15/2023,Brendan Sweed,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715
34,US-2023-103366,1/15/2023,1/17/2023,Erica Hackney,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546
35,US-2023-115791,1/16/2023,1/18/2023,Delfina Latchford,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468
36,US-2023-115791,1/16/2023,1/18/2023,Delfina Latchford,First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737
37,US-2023-115791,1/16/2023,1/18/2023,Delfina Latchford,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963
38,US-2023-115791,1/16/2023,1/18/2023,Delfina Latchford,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415
39,US-2023-123477,1/18/2023,1/21/2023,David Wiener,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764
40,US-2023-146591,1/19/2023,2023-20-11,Toby Swindell,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147
41,US-2023-146591,1/19/2023,2023-20-11,Toby Swindell,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564
42,US-2023-146591,1/19/2023,2023-20-11,Toby Swindell,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564
43,US-2023-146591,1/19/2023,2023-20-11,Toby Swindell,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894
44,US-2023-147627,2023-20-11,1/26/2023,Hunter Lopez,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616
45,US-2023-167927,2023-20-11,1/26/2023,Xylona Preis,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714
46,US-2023-167927,2023-20-11,1/26/2023,Xylona Preis,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062
47,US-2023-147627,2023-20-11,1/26/2023,Hunter Lopez,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784
48,US-2023-148614,2023-20-11,1/25/2023,Mark Van Huff,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.95
50,US-2023-147627,2023-20-11,1/26/2023,Hunter Lopez,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634
51,US-2023-147627,2023-20-11,1/26/2023,Hunter Lopez,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0.0,35.3346
52,US-2023-167927,2023-20-11,1/26/2023,Xylona Preis,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568
53,US-2023-167927,2023-20-11,1/26/2023,Xylona Preis,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981
54,US-2023-147774,2023-20-11,1/26/2023,Muhammed MacIntyre,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566
55,US-2023-167927,2023-20-11,1/26/2023,Xylona Preis,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0.0,298.6855
56,US-2023-147627,2023-20-11,1/26/2023,Hunter Lopez,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14
57,US-2023-148614,2023-20-11,1/25/2023,Mark Van Huff,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552
58,US-2023-167927,2023-20-11,1/26/2023,Xylona Preis,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098
59,US-2023-167927,2023-20-11,1/26/2023,Xylona Preis,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888
60,US-2023-147627,2023-20-11,1/26/2023,Hunter Lopez,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.0,2,0.0,3.3
61,US-2023-110422,1/21/2023,1/23/2023,Tom Boeckenhauer,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362
62,CA-2023-115238,1/21/2023,1/24/2023,Jane Waco,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.0,0.84
63,CA-2023-115238,1/21/2023,1/24/2023,Jane Waco,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512
64,CA-2023-115238,1/21/2023,1/24/2023,Jane Waco,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612
65,CA-2023-115238,1/21/2023,1/24/2023,Jane Waco,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631
66,CA-2023-115238,1/21/2023,1/24/2023,Jane Waco,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328
67,US-2023-146997,1/23/2023,1/27/2023,Speros Goranitis,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225
68,US-2023-102645,1/23/2023,1/28/2023,Ionia McGrath,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024,8,0.2,111.3024
69,US-2023-167997,1/26/2023,1/29/2023,Carol Adams,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988
70,US-2023-155502,1/26/2023,1/31/2023,Shirley Daniels,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0.0,35.6636
71,US-2023-155502,1/26/2023,1/31/2023,Shirley Daniels,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731
72,US-2023-167997,1/26/2023,1/29/2023,Carol Adams,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0.0,8.763
73,US-2023-155502,1/26/2023,1/31/2023,Shirley Daniels,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912
74,US-2023-155502,1/26/2023,1/31/2023,Shirley Daniels,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213
75,US-2023-155502,1/26/2023,1/31/2023,Shirley Daniels,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196
76,US-2023-155502,1/26/2023,1/31/2023,Shirley Daniels,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344
77,US-2023-155502,1/26/2023,1/31/2023,Shirley Daniels,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248
79,US-2023-117163,1/27/2023,02-02-2023,Ed Jacobs,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475
80,US-2023-117163,1/27/2023,02-02-2023,Ed Jacobs,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0.0,56.2032
81,US-2023-100328,1/28/2023,02-03-2023,Jasper Cacioppo,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0.0,8.0352
82,US-2023-134103,1/30/2023,02-04-2023,Mike Vittorini,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.0,4.172
83,US-2023-134103,1/30/2023,02-04-2023,Mike Vittorini,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031
84,US-2023-115161,1/31/2023,02-02-2023,Liz Carlisle,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075
85,US-2023-140795,02-01-2023,02-03-2023,Bradley Drucker,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549
86,US-2023-123400,02-02-2023,02-09-2023,Eric Barreto,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,0.0,33.2156
87,US-2023-139857,02-02-2023,02-06-2023,Cynthia Delaney,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0.0,6.7966
88,US-2023-123400,02-02-2023,02-09-2023,Eric Barreto,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0.0,2.9568
89,US-2023-111059,02-03-2023,02-06-2023,Tom Boeckenhauer,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.8572
90,US-2023-111059,02-03-2023,02-06-2023,Tom Boeckenhauer,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,6.633
91,US-2023-104808,02-04-2023,02-08-2023,Mark Haberlin,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782
92,US-2023-107181,02-04-2023,02-08-2023,Deborah Brumfield,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104
93,US-2023-107181,02-04-2023,02-08-2023,Deborah Brumfield,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0.0,6.2208
94,US-2023-108182,02-06-2023,02-10-2023,Delfina Latchford,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.0,16.5354
95,US-2023-131905,02-06-2023,02-09-2023,Neil Ducich,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0.0,16.1504
96,US-2023-131905,02-06-2023,02-09-2023,Neil Ducich,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.788
97,US-2023-131905,02-06-2023,02-09-2023,Neil Ducich,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426
98,US-2023-169390,02-07-2023,02-10-2023,Chris Selesnick,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592
99,US-2023-107755,02-07-2023,02-12-2023,Cyma Kinney,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852
100,US-2023-125759,02-08-2023,02-09-2023,Nathan Mautz,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184
101,US-2023-168368,02-11-2023,2/15/2023,Guy Armstrong,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973
102,US-2023-168368,02-11-2023,2/15/2023,Guy Armstrong,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396
103,US-2023-127614,02-11-2023,2/15/2023,Natalie Fritzler,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0.0,11.7208
104,US-2023-127614,02-11-2023,2/15/2023,Natalie Fritzler,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758
105,US-2023-168368,02-11-2023,2/15/2023,Guy Armstrong,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385
106,US-2023-168368,02-11-2023,2/15/2023,Guy Armstrong,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882,3,0.7,-25.8174
107,US-2023-168368,02-11-2023,2/15/2023,Guy Armstrong,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.6016
108,US-2023-168368,02-11-2023,2/15/2023,Guy Armstrong,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.992,1,0.2,2.0994
109,US-2023-127614,02-11-2023,2/15/2023,Natalie Fritzler,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304,1,0.2,1.0738
110,US-2023-110674,02-12-2023,2/18/2023,Sanjit Chand,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67.992
111,US-2023-121762,2/14/2023,2/18/2023,Marina Lichtenstein,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0.0,10.9096
112,US-2023-107706,2/14/2023,2/19/2023,Shui Tom,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0.0,22.788
113,US-2023-121762,2/14/2023,2/18/2023,Marina Lichtenstein,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0.0,13.3476
114,US-2023-121762,2/14/2023,2/18/2023,Marina Lichtenstein,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348
115,US-2023-165568,2/15/2023,2/19/2023,Barry Französisch,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1.652
116,US-2023-122567,2/16/2023,2/21/2023,Michael Nguyen,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3,0.2,7.4925
117,US-2023-122567,2/16/2023,2/21/2023,Michael Nguyen,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316
118,US-2023-154165,2/17/2023,2/24/2023,Delfina Latchford,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.0,165.3813
120,US-2023-152905,2/18/2023,2/24/2023,Aaron Bergman,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0.0,18.3456
121,US-2023-109491,2/20/2023,2/26/2023,Linda Cazamias,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4,0.0,13.878
122,US-2023-164903,2/20/2023,2/24/2023,Steven Roelle,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,0.0,63.4368
123,US-2023-109491,2/20/2023,2/26/2023,Linda Cazamias,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,0.0,51.759
124,US-2023-165540,2/21/2023,2/25/2023,Tamara Manning,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0.0,19.7316
125,US-2023-133354,2/22/2023,2/24/2023,Sue Ann Reed,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794
126,US-2023-103744,2/23/2023,2/27/2023,Michael Grace,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.682
127,US-2023-103744,2/23/2023,2/27/2023,Michael Grace,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.388,2,0.7,-1.8308
128,US-2023-137680,2/24/2023,03-02-2023,Jennifer Halladay,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.992,7,0.2,30.499
130,US-2023-156545,2/27/2023,03-03-2023,Joy Smith,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0.0,26.2416
131,US-2023-113880,03-01-2023,03-05-2023,Vicky Freymann,First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.4,-11.994
132,US-2023-131009,03-01-2023,03-05-2023,Shahid Collister,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.304,2,0.2,29.364
133,US-2023-104269,03-01-2023,03-06-2023,Dave Brooks,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732
134,US-2023-131009,03-01-2023,03-05-2023,Shahid Collister,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,0.0,9.6192
135,US-2023-168312,03-01-2023,03-07-2023,Giulietta Weimer,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44,1,0.0,16.6568
136,US-2023-131009,03-01-2023,03-05-2023,Shahid Collister,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.52,4,0.0,3.456
137,US-2023-113880,03-01-2023,03-05-2023,Vicky Freymann,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698
138,US-2023-131009,03-01-2023,03-05-2023,Shahid Collister,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,76.176,3,0.2,26.6616
139,US-2023-168312,03-01-2023,03-07-2023,Giulietta Weimer,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6,0.0,18.4464
140,US-2023-143707,03-01-2023,03-05-2023,Hallie Redmond,Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,43.12,14,0.0,20.6976
141,US-2023-107524,03-02-2023,03-08-2023,Kristina Nunn,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,0.2,10.35
142,US-2023-111157,03-02-2023,03-06-2023,Nicole Hansen,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82,3,0.0,2.3814
143,US-2023-107524,03-02-2023,03-08-2023,Kristina Nunn,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042
144,US-2023-111157,03-02-2023,03-06-2023,Nicole Hansen,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.7,3,0.0,68.976
145,US-2023-127978,03-03-2023,03-08-2023,Jill Stevenson,Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.43,3,0.0,218.2518
146,US-2023-105648,03-03-2023,03-07-2023,Eva Jacobs,Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,671.93,7,0.0,20.1579
147,US-2023-130421,03-03-2023,03-07-2023,Sam Craven,Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,93.888,4,0.2,12.9096
148,US-2023-155852,03-03-2023,03-07-2023,Ashley Jarboe,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0.0,103.8015
149,US-2023-127964,03-03-2023,03-08-2023,Anne Pryor,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,0.0,5.9988
150,US-2023-127964,03-03-2023,03-08-2023,Anne Pryor,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0.0,585.552
151,US-2023-127978,03-03-2023,03-08-2023,Jill Stevenson,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,171.55,5,0.0,80.6285
152,US-2023-127978,03-03-2023,03-08-2023,Jill Stevenson,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,157.92,5,0.2,17.766
153,US-2023-127964,03-03-2023,03-08-2023,Anne Pryor,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,203.184,2,0.2,15.2388
154,US-2023-117016,03-04-2023,03-09-2023,Sanjit Chand,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,58.38,7,0.0,26.271
155,US-2023-116239,03-04-2023,03-04-2023,Clay Ludtke,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,105.52,4,0.0,48.5392
156,US-2023-169061,03-05-2023,03-08-2023,Aimee Bixby,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,80.88,6,0.0,21.0288
157,US-2023-169061,03-05-2023,03-08-2023,Aimee Bixby,Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,6.63,3,0.0,1.7901
158,US-2023-169061,03-05-2023,03-08-2023,Aimee Bixby,Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,457.568,2,0.2,51.4764
159,US-2023-169061,03-05-2023,03-08-2023,Aimee Bixby,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,14.62,2,0.0,6.8714
160,US-2023-169061,03-05-2023,03-08-2023,Aimee Bixby,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,944.93,7,0.0,236.2325
161,US-2023-104563,03-07-2023,03-12-2023,Craig Molinari,First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1,0.0,2.691
162,US-2023-156587,03-07-2023,03-08-2023,Aaron Bergman,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.384,2,0.2,1.3596
163,US-2023-104563,03-07-2023,03-12-2023,Craig Molinari,Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,28.4,5,0.0,13.348
164,US-2023-104563,03-07-2023,03-12-2023,Craig Molinari,Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,27.68,2,0.2,9.688
165,US-2023-156587,03-07-2023,03-08-2023,Aaron Bergman,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,9.936,3,0.2,2.7324
166,US-2023-131982,03-07-2023,03-11-2023,Nora Pelletier,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,8159.952,8,0.4,-1359.992
167,US-2023-104563,03-07-2023,03-12-2023,Craig Molinari,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347
168,US-2023-156587,03-07-2023,03-08-2023,Aaron Bergman,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,1740.06,9,0.3,-24.858
169,US-2023-140116,03-10-2023,3/17/2023,Kean Thornton,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,32.064,6,0.2,6.8136
